award_date,grant_number
2016-01-11,1F32GM117928-01
2016-01-11,5F31NS090921-02
2016-01-11,3R25CA168544-04S1
2016-01-11,1R15GM117510-01
2016-01-11,5R01DK078897-08
2016-01-11,4R37AI042767-18
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA023108-37
2016-01-11,1R01HL130472-01
2016-01-11,2R01DK090038-06
2016-01-11,2I01CX000499-05
2016-01-11,5R01DC013281-03
2016-01-11,5P30CA023108-37
2016-01-11,1R01AG049764-01A1
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA023108-37
2016-01-12,4R37GM039451-30
2016-01-12,1R21CA201486-01
2016-01-12,1R01AI120989-01
2016-01-12,3R13AR069402-01S1
2016-01-12,3U01NS087748-02S1
2016-01-12,4R01HL111398-05
2016-01-12,2R01GM057481-13A1
2016-01-12,2R01HL051014-23
2016-01-12,4R01HL111600-05
2016-01-12,4K23HL112908-04
2016-01-12,7R01DA021336-11
2016-01-12,5R01GM106232-03
2016-01-12,5R37GM045372-21
2016-01-12,1R21AI117379-01A1
2016-01-12,4K08NS078100-06
2016-01-12,1R43MD010746-01
2016-01-12,3U2GPS002845-05S3
2016-01-12,5R01NS091066-02
2016-01-12,1R01NS092760-01A1
2016-01-12,1R01HD083383-01A1
2016-01-12,1R41HL130189-01
2016-01-12,1R01HL126736-01A1
2016-01-12,1R01DK102539-01A1
2016-01-12,7R01NS055215-10
2016-01-12,4R01HL095010-08
2016-01-12,4R01MH078033-09
2016-01-12,4P40OD010431-04
2016-01-12,1I01BX003328-01
2016-01-12,5R01GM110066-02
2016-01-12,1I01CX001219-01A1
2016-01-12,5R01DK097160-03
2016-01-12,5R01GM049202-21
2016-01-12,3R01NS088479-01A1S1
2016-01-12,1R01HL126974-01A1
2016-01-12,1I01BX003368-01
2016-01-12,1I01BX002788-01A1
2016-01-12,1I01BX002709-01A2
2016-01-12,4R01GM100910-04
2016-01-12,4K01HL116768-04
2016-01-12,5R03MH103477-02
2016-01-12,5R01AI114059-02
2016-01-12,5K23HL118529-03
2016-01-12,1R21AI118733-01A1
2016-01-12,4R01AI097639-05
2016-01-12,5R01GM056257-16
2016-01-12,3R01NS087019-01A1S1
2016-01-12,5R01GM031954-31
2016-01-12,5K01MH103467-02
2016-01-12,5R01GM025661-35
2016-01-12,5R01AI056346-12
2016-01-12,5R01GM105754-04
2016-01-12,4R01DC013138-04
2016-01-12,1K99HL127295-01A1
2016-01-12,5R01DK100319-04
2016-01-12,3T03OH008610-11S1
2016-01-12,3U24CA144025-05S2
2016-01-12,1F32GM117895-01
2016-01-12,2R01AI089714-06A1
2016-01-12,3U2GGH000224-05S1
2016-01-12,5R01GM109938-02
2016-01-12,1K99HL130662-01
2016-01-12,1R21AI121789-01
2016-01-12,1R21AI123134-01
2016-01-12,4R01GM073042-12
2016-01-12,7R01GM110444-02
2016-01-12,4R01GM069909-13
2016-01-12,5R01AA018779-07
2016-01-12,4R01HL085372-09
2016-01-12,1R01HL130192-01
2016-01-12,5R01AI105813-03
2016-01-12,5R01CA085831-13
2016-01-12,5R01DC008595-08
2016-01-12,4R01CA165469-04
2016-01-12,4R01AI072265-10
2016-01-12,5R01NS091367-02
2016-01-12,4R01NS078283-05
2016-01-12,1R03NS096454-01
2016-01-12,5R01AI067846-11
2016-01-12,5R01GM110567-02
2016-01-12,4R01NS079374-04
2016-01-12,5R01CA160216-05
2016-01-12,5K08HL121671-03
2016-01-12,5R01DC014658-02
2016-01-12,1R01HL125926-01A1
2016-01-12,5R01DK100482-03
2016-01-12,4R01HL048509-22
2016-01-12,4R44NS093889-02
2016-01-12,5R01EB020527-02
2016-01-12,5R01DK099177-03
2016-01-12,5R01HL070865-11
2016-01-12,1R01EB020666-01A1
2016-01-12,1K99HL127302-01A1
2016-01-12,2R01HL062052-19
2016-01-12,5R01CA190554-02
2016-01-12,6F30HD082903-02
2016-01-12,5F32AI116263-02
2016-01-12,5R01GM113253-02
2016-01-12,5R01AI110642-02
2016-01-12,3R01NS087544-02S2
2016-01-12,1I01BX002905-01A1
2016-01-12,1K01HL123349-01A1
2016-01-12,5R01NS083801-03
2016-01-12,5F32AI110028-03
2016-01-12,1R01HL127212-01A1
2016-01-12,2R15GM100376-02
2016-01-12,5K23MH100640-03
2016-01-12,4R01DC012578-04
2016-01-12,5R01MH101729-03
2016-01-12,1R01NS093382-01A1
2016-01-12,5R01DK068306-12
2016-01-12,5R37GM046904-26
2016-01-13,3U90TP000529-04S1
2016-01-13,1K99HL130523-01
2016-01-13,5R01AI072648-07
2016-01-13,5F32GM113452-02
2016-01-13,5R01HL087118-06
2016-01-13,1R01HL127602-01A1
2016-01-13,5R01GM113014-02
2016-01-13,1I01BX002778-01A1
2016-01-13,5R21AI117162-02
2016-01-13,1I01BX002908-01A1
2016-01-13,2I01BX001164-05
2016-01-13,4R01AI095366-05
2016-01-13,2I01BX000837-05
2016-01-13,1I01BX002661-01A2
2016-01-13,1I01BX002867-01A1
2016-01-13,1I01BX002745-01A1
2016-01-13,5R01AI113125-02
2016-01-13,3U2GGH000616-05S1
2016-01-13,1I01BX003033-01
2016-01-13,5R00CA172371-04
2016-01-13,3R41ES023706-01S1
2016-01-13,2P40OD012217-29
2016-01-13,1U24HG008956-01
2016-01-13,2I01BX001356-05
2016-01-13,5K23DA036566-02
2016-01-13,5R21AI117303-02
2016-01-13,4R01NR014019-04
2016-01-13,2R44GM109740-02
2016-01-13,2I01BX000972-05
2016-01-13,4R25HL007785-24
2016-01-13,2UM1HG006493-05
2016-01-13,4U01HL111016-05
2016-01-13,2R01GM097562-05
2016-01-13,5F32AI115947-02
2016-01-13,4R01DC005216-16
2016-01-13,1I01BX002717-01A1
2016-01-13,5R01GM045751-25
2016-01-13,5R21AI117718-02
2016-01-13,5P50DC000422-28
2016-01-13,3U2GPS002055-05S2
2016-01-13,4R01DC012593-04
2016-01-13,1R03CA202316-01
2016-01-13,7R15CA179410-02
2016-01-13,5R01DC014261-02
2016-01-13,4R37GM053757-21
2016-01-13,1UM1HG008853-01
2016-01-13,5R01CA189224-02
2016-01-13,7R01DK102020-03
2016-01-13,2I01BX000589-05A1
2016-01-13,4R01GM097358-05
